#,Subject,Assigned to,Status,Due date,Note
186,New Email - please remove Attach File text box and Browse and make the one inside the box work,developer3 Dev3,Assigned,,
185,"Please remove vertical scrolls from: My Albums, Add New Photo select procedure lightbox",Developer1 Dev1,Assigned,4/16/2010,
184,"Broken Link. Word document does not open up in ""My Notes""",developer3 Dev3,Assigned,,
183,Choose your picture light box should not scroll,developer3 Dev3,Assigned,,
180,"Forums - please indent reply messages, etc.",Developer1 Dev1,Rejected,4/16/2010,
179,Procedures>Registration>Procedure information>Select Country,developer3 Dev3,Assigned,,
178,Registration>Procedures,developer3 Dev3,Assigned,,
177,Registration>Basics - change Choose your picture to the same format as Edit Profile,developer3 Dev3,Assigned,,
161,Friends Home Page ~username~ does not change to the friends name,Developer1 Dev1,Rejected,,
138,Blog posts #1 ,developer3 Dev3,Rejected,,
